"","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"668",-99.339165,43.78809,8.57271862030029,14.0334377288818,30.7089157104492,1145.03125,31.2912502288818,-14.4069995880127,45.6982498168945,19.5867919921875,-5.81579160690308,22.3462085723877,-5.81579160690308,510,80,9,60.7151412963867,230,32,203,32
"669",-109.157458,46.653157,6.83795833587646,15.4316253662109,38.0061187744141,901.830810546875,28.4360008239746,-12.1669998168945,40.6030006408691,15.4661664962769,-4.00783348083496,18.2307510375977,-4.00783348083496,365,67,10,62.5579719543457,172,39,144,39
"670",-108.588355,47.017025,7.46328115463257,15.8144788742065,37.6235122680664,940.860534667969,29.6790008544922,-12.3544998168945,42.0335006713867,16.5604991912842,-3.93958306312561,19.2994575500488,-3.93958306312561,373,75,9,64.7621765136719,180,39,142,39
"671",-102.234502,43.869987,8.44994831085205,15.0945625305176,34.4339752197266,1059.41870117188,31.1544990539551,-12.6817502975464,43.8362503051758,18.7065830230713,-4.42191696166992,21.6193332672119,-4.42191696166992,420,74,8,64.4082946777344,202,29,171,29
"672",-99.244658,43.380336,8.89890670776367,13.7291460037231,30.9853553771973,1112.16931152344,31.0394992828369,-13.2690000534058,44.3084983825684,19.6685009002686,-5.06391668319702,22.3114166259766,-5.06391668319702,580,89,12,57.5562324523926,252,40,219,40
"673",-105.163399,39.712043,10.245041847229,16.0809993743896,40.8787879943848,848.808349609375,31.244499206543,-8.09375,39.338249206543,13.8950414657593,0.394291549921036,21.2297496795654,0.394291549921036,449,68,14,42.8795356750488,170,49,139,49
"674",-105.280097,39.929597,8.41788578033447,16.1509799957275,42.6425666809082,796.953002929688,28.9225006103516,-8.95275020599365,37.8752517700195,11.6349582672119,-0.701166808605194,18.7534999847412,-0.701166808605194,470,68,16,41.4673614501953,175,54,148,54
"675",-105.983804,38.503366,4.0784478187561,16.7803955078125,43.1042976379395,809.792419433594,24.4312496185303,-14.4984998703003,38.9297485351562,13.6653327941895,-5.55316686630249,14.2843751907349,-5.55316686630249,332,60,13,52.1101989746094,147,45,142,45
"676",-106.081175,38.50182,5.74943733215332,17.3426246643066,43.7354202270508,817.075866699219,26.6877498626709,-12.9657497406006,39.6534996032715,15.316499710083,-4.07237482070923,16.0641670227051,-4.07237482070923,279,52,10,54.5125923156738,127,34,120,34
"677",-106.145258,38.883328,2.41156244277954,16.5879573822021,43.5662498474121,794.305541992188,22.4869995117188,-15.5882501602173,38.0752487182617,11.971625328064,-6.8758749961853,12.4504165649414,-6.8758749961853,378,58,20,38.2174072265625,148,67,144,67
